text,true_star,pred_star,absolute_error
"The day after I posted the review here on yelp concerning my horrible experience at Aladdin's, I received a phone call from the store's general manager, Mike. After apologizing profusely for the previous day's missteps, he explained that he was not present when my situation was handled, & that he had new people working that day. He assured me that he coached the responsible staff on the importance of high quality customer service & to never allow anything like that to occur again. In the end, he offered me a free meal any time I'd like--to just give him a call & he'd take care of it. I happened to be just heading home from work & was starving so I ordered the Eggplant Parmigiana Sandwich with their Old Bay fries on the side. Happy to take care of my order, he even threw in another Peach Cobbler, noting I had ordered one the night before, & assured a speedy arrival. Sure enough, not long after I arrived home, (not even 25 minutes later) my phone rang with my delivery outside. The driver apologized for the previous day's mishap as well, clearly knowing who he was delivering food to, and ensured me they took great care to make me the ""Best sandwich [I'd] ever have!"" As always, the food was just a tad spicier than most other pizza places in the area, but the quality was great! And (in my opinion) even more importantly, so was the fantastic customer service!",5,1,4
"THE best pizza, generous toppings, fair price. The only bad thing is the rude girl that works there. Customer service goes a long way...",5,1,4
Screw those that rate this a 3 star place.. It's a bar people! And the food is good. Beer is cold. And they have happy hour!,5,1,4
"Zahav is a wonderful restaurant, but in order to appreciate a good restaurant, I would need to be able to make a reservation. I woke up at midnight to make a reservation for the next available day for reservations (May 19) just for there to instantly be no availability for a party greater than 2 people at any point. Obviously the restaurant is doing great, and I applaud their success, but I only wish a normal person could get a reservation (apparently I won't be going back here).",1,5,4
I been coming here for years I love this place the food is awesome and the waitresses are so. Friendly they treat you like family well some do Janine is one of the few that take pride in her job she's very outgoing and attentive always checks on me and makes sure my coffee is filled and askes me if I need anything else like I said she is one of the few than there are others that are just plain out rude like marybeth she can be ignorant at times I've even seen her be rude to her fellow employees I observe while I eat lol but sometimes it's kinda hard not to notice the the very much noticeable stuff that goes on from some of the employees like Mary Beth who needs an attitude adjustment along with training on dealing with the busy public just don't get stuck with her when you go in here to eat ask for Janine or one of the other nice waitresses like ruthie or Maria they will make sure your well takin care of!,5,1,4
"Saw the poor reviews after group of coworkers decided to go here, and was a bit worried, thinking we should head to Gino's instead. But this was a PERFECT cheesesteak! The bread... yum.",5,1,4
"For years this place had the best breakfast burrito in the country & a top notch assortment of tacos and burritos. Now it's sadly gone - a thing of the past, relegated to a memory. The new menu is overpriced ($10 for a scoop of rice & underseasoned veg -???) and the flavor is all gone. A tragic reminder of West Philly's decline into bohemian privilege",1,5,4
How can any Philly citizen eat this garbage when we have some of the best bread and sandwiches in the country!! I have no idea how this franchise can survive in this city!,1,5,4
"We ordered food on Grubhub from Bleu and realized we had the wrong address.. we just moved and still had the old address attached. We went to change the address and we were out of their delivery zone and instead of canceling the order we drove to the restaurant (yes the food is that good). When I got there, I met Hendra for the first time and he was very polite and apologetic for the inconvenience even though it was our fault! He gave us a 20% off our next purchase and two free drinks. We will definitely be back for both the food and customer service! We only ever got delivery, but after COVID I cannot wait to eat there because after picking up the food I saw how cute the restaurant was. Thanks Hendra! (From Ashley and Tim)",5,1,4
Staying at the Marriott and got carry out. Eggplant Parmigiana and Italian side salad. I was not going to eat whole thing but I could not stop. Great sauce. Yummm!,5,1,4
"Literally made an account to write this. It was a cold afternoon. My dad came over from Maryland and asked if I wanted to try something new. I said, ""Sure, why not,"" not thinking much of it. He ordered from ""Golden Triangle"" and told me that his coworker recommended it. We had the roti canai and the pad Thai. They were so good! Roti canai had a nice rich feeling to it and I felt at home (due to being raised in Southeast Asia). I love this place and recommend it to all my friends in the area.",5,1,4
One of my go to restaurants in China town! Never disappoints! Make sure to bring cash though because they don't take card. Although there is an ATM inside,5,1,4
Their tacos are the trashiest Americanized thing I've ever had. They had sour cream and cheese in them which is not included in authentic tacos. Also their veggje tacos are just beans combined with wheat bread from Safeway.,1,5,4
"I am so happy to see Nom Nom reopen after the month long renovation, however , I am so disappointed of the Ramen . What happened guys ? Nom Nom used to be my favorite place to fulfill my ramen craving in philly and I have raved about it to every single person I know . I will no longer return after this time . My favorite part about the Ramen from Nom Nom was their creamy broth, it hurt every taste bud on my tongue and was always made to perfection . The broth now is watered down , it was so flavorless and tasted like water plus instant noodle seasoning packets. The braised pork are thinly sliced now and on top of that one of the pieces was a half piece of pork. I understand how after the reopening you need to raise the price , which is no big deal. But , with this kind of quality ? I am so sad I have just lost a favorite restaurant from the city.",1,5,4
"There are so many different vendors here that I basically go to RTM to look around like a tourist. From sweet to savory to inedible, RTM has it all. I recommend going to the Harvest Festival, which I thought was very fun.",5,1,4
Second time visiting in The last year. Food tast like it's been just sitting around. Definitely not fresh. Back in the day it was exceptionally good. Must be the new management. This is my last time coming.,1,5,4
"A lot of the wholesome looking food is secretly loaded with sugar, watch out!",1,5,4
"We know now but ordering our first time was a rushed experience requiring you to keep an eye on which sandwich is which and only accepting cash. At least we knew that we wanted onions. I knew that the cheese-wiz was the best option but you can't tell people what they want, sometimes they just have to learn the hard way. There are peppers if you want a complete experience, fries are not necessary. Just bring your own water or buy a drink.",5,1,4
yeah this place is super flame. some really tasty food and alot of it for not alot of money. if you care about healthiness you wont feel guilty. if you dont you wont feel like your eating health food. as someone who is a little underimpressed by the food scene in the neighborhood WEST PHILLY IS SLEEPING ON THIS PLACE!!,5,1,4
This place is definitely not closed because my date and and I are sitting here and we just ordered food Date 02/07/20,5,1,4
"This restaurant has TREMENDOUS service! I went to this restaurant as a part of a trip to the east coast and decided to stop by since the reviews were good. One of the servers accidentally dropped a plate of food, and not only were multiple servers apologetic and acknowledging of their mistake, they went out of their way to make sure the customer was happy by constantly checking in and even providing complementary drinks on the house!",5,1,4
"I was so displeased about being yelled at by some man who is a manager, not Doug. Hana was great and Doug was personable. I hate that I cannot",1,5,4
"excellent. can't believe i never stopped in here before. the building facade is misleading in that this place is super cool. it's weird how you go downstairs and order and then chill upstairs, but it's worth it. note to everyone: the hours on yelp are wrong. they don't close at 9. they close at 7. we were kicked out at 7, quite kindly, but asked to leave nonetheless.",5,1,4
First time I came to this place the food was amazing had the chicken and waffles and the creme brûlée French toast and the service was really good I came back and the service was horrible the good was not hot at all and it jus wasn't the same experience time to find a new place to eat,1,5,4
"My main point is not to critique their pizza. But i just wanted to make a note that their pizza has high quality ingredients. The doe is crispy but not to the point where its stabbing/clawing your mouth ceiling. It has a great balance between the doe, topping and sauce. To my main point: my experience on 2/21/14. It was about 10 or so and the place starting to get jammed packed with people. The Owner took our, me and the Mrs., we ordered a pie of Forbes and bought drinks and sat down. We waited and waited and waited. Then one of the workers realized we didn't have our pizza yet. He checked out the status (the slip got lost in the mayhem, understandable). It was MUCH busier than usual. The worker told the chefs to expedite our order, and told the Owner about why we didn't get out pizza. The Owner felt bad/embarrassed that he apologized sincerely and gave back half of what we paid, which was the pizza and 2 drinks. Pizza finally came and we wolfed it down, took home 2 slices. When we left, walking towards my car, the Owner came out with a MEGAPHONE and sincerely apologized again. After that he rushed back into the mayhem. I just wanted to share that with whoever is reading this. The experience was unexpected and great. Job well done Mr. Owner.",5,1,4
"Wednesday night quizzo is the best in the city. Great servers and quizzo Kevin is hilarious. I would give it 5 stars, but I hear quizzo Kevin is not coming back, therefore, I won't be back. #BringBackQuizzoKevin #AndTheFriedOreos",1,5,4
How this place gets so many stars I just don't know. Devil's food cake with cheap icing and chocolate shavings does not make a great cake. If you are in a pinch for a good cake go to the Whole Foods at 20th & Callowhill and they can generally letter up a birthday cake for you with a quickness.,1,5,4
Just moved to the north east and was looking everywhere for a decent pizza place! Finally found one. I wouldn't go anywhere else.,5,1,4
Rene is making samples of coffee for our PSU tour. Salted caramel. Chocolate ganache. Multiple methods for making coffee.,5,1,4
"This was the first ramen place I ever tried in Philly, but definitely not the best ramen. This spot has a lot of buzz surrounding it from word of mouth, but the buzz doesn't necessarily reflect the quality. The ramen broth is watery and has little taste, and the noodles are just as bland and like plastic, they don't seem as fresh as how real ramen noodles should be. Plus, you only get half of an egg. Even their other dishes like katsudon and takoyaki are medicore at best and lack flavor and authenticity. tl;dr overrated ramen spot, far from authentic, try other places before thinking this is the best ramen in the city (coming from a frequent Japan traveler)",1,5,4
Simply the most OVER RATED pork sandwich I've ever had... I had very high hopes for this pork sandwich and when I tried it I was very disappointed with the lack of flavor!!!! Their cheese steaks are the highlight of this place!!!! Their prices are about par for the course!!!!!,1,5,4
i was in this bar when jfk was killed 11/22/1963. i was under 21 and eating a cheese burgher with a beer. i was 18 and they didn't card me.,5,1,4
"May William Penn smite the person who says a word against this place. It's a staple for a cold beer and hot wings on any game night. The only time McGillin's disappointed me was when I made the mistake of coming in on Cinco de Mayo for ""authentic Mexican drinks."" Note: the Irish never made a mojito or caipirinha (additional note that a caipirinha is brazilian and an Irish pub would only ignore that fact and call it ""authentic Mexican drinks"") and they never will. I will stick to the beautiful things: their pitchers of beer and beef nachos.",5,1,4
"Finally! A pizza place that doesn't give you soggy thin crust lazy excuse for drunk satisfaction. Doughy crust I love, actually good bacon, first time delivered small pizza and sandwich in *12 minutes* and second time a small pizza and app in 15. Both on Saturdays ... even reasonably priced - I have found my pizza place",5,1,4
I put in a pretty large order through Grubhub and was a bit concerned when it had been an hour and nothing showed up. Called in a they told me that the driver had left with it about 15 minutes ago. Another 45 minutes went by... nothing. I called back in and they were pretty great about the whole thing. Ended up making a whole new order and the woman I was talking to drove it over herself. Food was very good. The original order did end up showing up with the food pretty much destroyed and the driver looking like he had done all the drugs. I woke up this morning and I had an email saying that they refunded me. Long story short I believe that customer service like that goes a very long way. Great job to the Seiko team!,5,1,4
"I like this joint. Sours this week-ewwww, but no worries 568 other brews to choose from.",5,1,4
The guy working the cashier (seems like he may be the manager) was unbelievably pleasant. Very attentive to his customers - I'm gluten free. He was patient with me and my requests and helped customize my order. I got a veggie omelette with melted cheese and roasted potatoes. Delish! I took a double take to remind myself I was in an airport and not at a gourmet breakfast cafe. I paid $13 (included my bottle of water) Try this place. You won't be disappointed.,5,1,4
Call Philadelphia taxi cab at 5:19 in the morning so it would be 10 to 15 minutes never showed up called again at 6:14 a.m. and never showed up again are the worst taxi cab in the city,5,1,4
A+ would eat your tofu stew again Also my partner did not put down his koagie the whole time we were there... it was like it was glued to his hand. KIMCHI!,5,1,4
"Cheap drinks and decent food. I actually left a bag of concert memorabilia on my table Saturday night. I figured I would never see it again. I called the bar at 7:00 am, on a Sunday, and a man answered and told me my bag was there. Honesty deserves a 5 star review. Thank you so much.",5,1,4
I had the grilled chicken platter as tasty as I have ever had tasted like steak,5,1,4
My girlfriend recently visited this restaurant and told me I had to try it for myself so we did brunch this morning. Unfortunately we had a terrible waiter that made us feel like us being there was an inconvenience. By the end of the meal which was fantastic by the way I asked to speak to the manager. Mike (manager) came over and we told him about our experience and he was extremely polite and rectified the situation in our eyes. Will definitely visit this restaurant again as we noticed the other wait staff were very professional.,5,1,4
"I have been meaning to write this review for so long because that's how sweet they are! I went there for my manager's birthday and because I had been dying to try byreks. When I got there, the owner (I'm so sorry I don't know if I ever asked what your name was) asked me about my manager and I told him it was a surprise for his birthday. Once he heard that, he threw in aryan in the house! I thought it was just milk LOL (I was close)! Anyway, my manager Chim was so happy and even thought I made the byreks hahahaha I wish. Shumë falemimderit!!! :p",5,1,4
"I placed an order at @ 11:25pm, I walked in 11:40. The guys at the front were excellent, I gave my name they told me I was coming and that they were behind. That means so much to me as a customer, one gentleman came out and said my name looked me in my eye and told where my order was and how much time was left, look for me that meant so much again. I paid for my food everything was hot & accounted for. I realize I mite be in the minority but this service is way better then location on Stenton Avenue, thanks again guys. I really appreciate it !!!",5,1,4
I found out about this place on Valentine's Day after a news article came across my feed about their heart shaped pizza. I called last minute on a whim to see if I could get one for my little one. The customer service I received from the counter lady was beyond compare. They made a little girl smile brighter than all of Vegas and for that I'll be forever grateful,5,1,4
I always seek out the neighborhood bars when I go to other cities..stepped in here a year ago..been coming back ever since when I'm Philadelphia... Post prohibition bar..and the roast beef on roll..sliced from an antique slicer in front of you..will knock.your socks off...jus go..,5,1,4
"We have been patrons of Devon for many years. We've always enjoyed the ambience, the food & the servers. A few years ago, we even had a surprise birthday for my wife there and have celebrated other occasions there as a couple and with friends. We were there just this last Wed. nite (12/13) to celebrate our anniversary. As usual, the food was fine and our server, Donte, was terrific. Being that it was our anniversary (and we made that known when we made reservations) I was surprised we didn't get a small complimentary dessert (as we had on other special occasions), but that was by no means a big deal and, in no way negatively impacted our visit. Here's what bothered me. I ordered a Moscow Mule from the drink menu. Crazily enough, the menu listed the price of the Moscow Mule as $1. I mentioned it to Donte and he said he had seen that before & thought it had been corrected (to $11). We both joked about it (Donte asked me if I would really want a drink that only cost a $1) and went on to have an excellent dinner. Upon leaving the restaurant I mentioned the typo to the two young female hostesses and a young man (the manager?) at the front door. Again, we were joking about it, but I'm not sure the manager took my comments as a joke. He kept rolling his eyes at everything I said, never addressed the misprint and then dismissively said ""Have a nice night,"" & walked away from me as if I was bothering him. Maybe I took this too seriously (it's possible) but I really felt as I was being treated in a rude, insulting manner. As a long-time and regular customer, I didn't like being treated that way (and, by the way, I didn't make the typo and I wasn't the person who didn't bother to correct it). Ironically, we have reservations at Devon this coming Sun. (Christmas eve nite) with another couple, so, obviously, that instance isn't going to effect my patronage of your restaurant. This is just a little note to remind you that the staff of any restaurant should be aware of how they're acting (and also that the people who put together the restaurant should proofread their work...or maybe honor their misprint...instead of making the customer feel as if they were wrong to bring it up).",5,1,4
"OK, so my girl and I visited last night (Saturday) at 1am because she got out of work late and was having a shitty night and mind you, my girl and I both work in the restaurant industry (unfortunately) so we are very well aware of leaving accordingly by closing time and leaving a standard tip; but NICOLE, our bartender of the night was so accommodating. We left her a 45% tip. She assured us that we were not being rushed and we felt her genuine words. We already knew we had less than an hour or so to dabble here and there and we live right around the corner and made a random stop and did not regret it. Nicole was very attentive and we have already established that we will be coming back for her genuine service. She has such a sweet soul.",5,1,4
"I wanted a fried fish platter so looked in yelp and decided to gove this place a try. I called in and ordered a whiting platter with mac and yams. The lady on the phone asked if I wanted a small or large. I asked what the difference was in the sizes and the difference in price and she said it comes with 2 sides. She said the platter was $10 so I just ordered it not caring about the size. I asked how long she said 25 minutes. I arrived about 30 minutes just to give them more time. I advised the young lady I was there to pick up my food she asked for a number. I said I was not given a number but I ordered a fish platter and was told 25 minutes. She said she didnt have an order. As I was about to walk out a gentleman who I assume was the owner asked what was going on at which time the young lady noticed another employee wrote down the order and left. He immediately apologized and advised he could have the platter ready within 5 minutes. He also offered me a free drink which is not much but it shows the value me as a customer. Now to the food... AWESOME!!!! Fish fried perfect, yams and mac great and the cornbread was delicious too! Had the owner not been there I would have never had the chance to taste this awesome food. Good customer service makes a difference!!!",5,1,4
Just spent 30 min with the cheese girl doing the Italian vs French olive oli throwdown... Ended up buying both. The workers here r so welcoming!,5,1,4
"Had the margherita and pepperoni, both were so salty I couldn't eat more than a slice of each.",1,5,4
"Food was warm, super greasy, and bland. Perfect for people that don't care to eat good food.",1,5,4
"I can't believe I'm saying this about a bbq shop, but Siu Kee has been getting on my nerves lately. They undoubtedly have the best bbq in Chinatown (bbq pork, roast pork, roast duck - all delicious), but they also will serve you inedible scraps if you don't watch them closely. Twice now I have sat down, opened my takeout container, and discovered meatless pieces of roast duck or foul, black liver. Makes me mad that they would serve food they obviously wouldn't eat.",1,5,4
"I originally called to see if they were open (labor day). The manager who was not at the shop called to verify that they indeed were still open. Very outgoing and personable service. Made me feel right at home. Lots of options to eat and drink, set up like a home, warm decor, all lead to a very satisfying experience. Will return soon. matt mayhem",5,1,4
"It's Pats. It's the original cheesesteak. What else do you want? You want a cannoli, go somewhere else.",5,1,4
"I can't say enough about this place. I never order from anywhere else. But today they went above and beyond. I ordered the wrong thing. I did. And when I called to order the right thing, they sent it at no charge. Great food and old school customer service!",5,1,4
Tried to stop here on fri 6/7 and much to my sadness it was closed!!!,5,1,4
"About a year ago I was planning a surprise milestone birthday party for my wife and I was looking for something that she could go and do for an evening with her friends that would different, fun, and hip. As an accident on tripadvisor I saw people discussing North Bowl and Lucky Strike and I decided that would be the route I would go. Initially I called Lucky Strike as they were more of ""the name"" and I got a quick call back from one of their reps who after she found out that I ""only"" wanted to rent a lane with food and open bar for three hours for six seemed mildly interested as apparently on a Saturday if you're not bringing double-digits they don't want to talk to you. I then contacted North Bowl via their website and I heard nothing for about a day and a half. I was unimpressed with the price list and food from Lucky Strike but was going to probably go with them when the phone rang. It was Leemore from Northbowl and she was apologetic when she found out that no one had contacted me about my inquiry and from there we talked about three times over the next week to nail down the details and everything with her came together quick, easy, and on budget. Leemore truly is the person that made this happen as she was more than willing to listen to what I wanted and was willing to customize a bit while being objective with what things usually work and don't work food, alcohol and package wise. While the food is more bar-type food than Lucky Strike the overall menu is more diverse and they are much more willing to work with you to find a package that works. On the day of the party Leemore even showed up and personally greeted my wife and her friends and made them fell very welcomed and really made sure they had a great time. (And that they got drunk past the point of reason. Thank God there were strong garbage bags for the ride home.) North Bowl truly was a winner and I can't say enough good things about everything from start to finish.",5,1,4
"My one stop after getting a hair cut..been doing this for yrs..why I do this, well because I'm a retard and drive 40 min from home just to come to the same barbershop, and can't beat food n drinks.",5,1,4
"No frills, they're not in business to make friends. It's possible but not probable. The service is prompt which is why they don't waste time being too nice. The sandwiches are the best in the tri-state area and I've been eating here for 30 years!!!",5,1,4
"I had an issue come up with my food and called the restaurant to complain. within. ten minutes the OWNER himself came to us to apologize and explain what had happened. This is exactly what customer service should be, and this man exemplifies what it means to be a business owner, and a leader.",5,1,4
