split,selected_config,coherence_c_v,input_column,topic_id,word_rank,word,weight
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,1,order,0.022262825
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,2,place,0.021874556
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,3,time,0.020470591
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,4,customer,0.019846097
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,5,service,0.017005537
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,6,never,0.013666632
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,7,people,0.012604766
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,8,bad,0.012110781
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,9,back,0.012082341
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,0,10,even,0.010242156
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,1,place,0.036183845
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,2,good,0.03145358
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,3,pizza,0.027883865
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,4,bar,0.019658107
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,5,beer,0.018421149
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,6,steak,0.013635372
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,7,really,0.013405785
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,8,philly,0.012924634
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,9,drink,0.011364313
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,1,10,great,0.010087422
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,1,good,0.021406088
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,2,restaurant,0.014899896
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,3,dish,0.014649251
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,4,place,0.0139500685
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,5,chicken,0.010854173
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,6,really,0.009435427
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,7,sauce,0.009281537
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,8,soup,0.008866652
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,9,rice,0.008857496
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,2,10,menu,0.008308291
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,1,cheese,0.022755511
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,2,sandwich,0.01960905
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,3,good,0.017720375
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,4,fry,0.017605172
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,5,chicken,0.016372755
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,6,burger,0.016268019
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,7,salad,0.010603911
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,8,order,0.009634329
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,9,place,0.009520876
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,3,10,time,0.008790798
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,1,table,0.028169017
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,2,minute,0.024121009
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,3,time,0.022185085
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,4,service,0.02208669
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,5,order,0.021122945
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,6,restaurant,0.01671237
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,7,back,0.016468234
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,8,hour,0.01535877
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,9,server,0.014447413
negative,filtered_strict_eta_auto,0.43142586054269483,cleaned_text_topic_pos,4,10,drink,0.013847572
