group,rank,word,score
top_positive_words_for_class_5,1,best,6.146287432065291
top_positive_words_for_class_5,2,great,5.069996236911541
top_positive_words_for_class_5,3,amazing,4.779110666499216
top_positive_words_for_class_5,4,the best,4.5146271160543625
top_positive_words_for_class_5,5,so good,3.859419442909666
top_positive_words_for_class_5,6,love,3.55690733290235
top_positive_words_for_class_5,7,delicious,3.4730999749613796
top_positive_words_for_class_5,8,awesome,2.8915161434489467
top_positive_words_for_class_5,9,incredible,2.841758877921325
top_positive_words_for_class_5,10,perfect,2.7559497164344124
top_positive_words_for_class_5,11,excellent,2.7366407353517186
top_positive_words_for_class_5,12,wait to,2.649727483435771
top_positive_words_for_class_5,13,gem,2.6303220879401934
top_positive_words_for_class_5,14,fantastic,2.5622921247671195
top_positive_words_for_class_5,15,friendly,2.5266757719450594
top_positive_words_for_class_5,16,every,2.4750729861189202
top_positive_words_for_class_5,17,can wait,2.456902766002487
top_positive_words_for_class_5,18,disappoint,2.4427651196159568
top_positive_words_for_class_5,19,loved,2.373074359821502
top_positive_words_for_class_5,20,favorite,2.317044367077724
top_positive_words_for_class_5,21,love this,2.3125188007768664
top_positive_words_for_class_5,22,not too,2.296602996481892
top_positive_words_for_class_5,23,highly recommend,2.197336033041916
top_positive_words_for_class_5,24,good,2.1823943412917224
top_positive_words_for_class_5,25,try,2.1315077665297424
top_negative_words_for_class_5,1,worst,-5.460634616418728
top_negative_words_for_class_5,2,not,-5.1460706971522185
top_negative_words_for_class_5,3,rude,-4.376034266202815
top_negative_words_for_class_5,4,the worst,-3.403241681037171
top_negative_words_for_class_5,5,bad,-3.3958358432688565
top_negative_words_for_class_5,6,bland,-3.244179003484028
top_negative_words_for_class_5,7,will never,-3.2429108858201254
top_negative_words_for_class_5,8,never again,-3.1539457657889356
top_negative_words_for_class_5,9,awful,-3.1419847332701787
top_negative_words_for_class_5,10,one star,-3.077141759974614
top_negative_words_for_class_5,11,terrible,-2.816829621807849
top_negative_words_for_class_5,12,not worth,-2.8125007125986254
top_negative_words_for_class_5,13,star,-2.7476783667060793
top_negative_words_for_class_5,14,not good,-2.727804989707664
top_negative_words_for_class_5,15,very disappointed,-2.5798046852904926
top_negative_words_for_class_5,16,horrible,-2.541030404800062
top_negative_words_for_class_5,17,money,-2.373375072622542
top_negative_words_for_class_5,18,dry,-2.3578648494688315
top_negative_words_for_class_5,19,never,-2.317075407653824
top_negative_words_for_class_5,20,sucks,-2.3101539568919933
top_negative_words_for_class_5,21,waste,-2.2563231237288046
top_negative_words_for_class_5,22,gross,-2.2379193256830145
top_negative_words_for_class_5,23,not recommend,-2.236805835130126
top_negative_words_for_class_5,24,told,-2.206468026724979
top_negative_words_for_class_5,25,poor,-2.1783333417931265
